loan_amnt,total_loans,defaulted_loans,default_rate
500,11,0,0.0
550,1,0,0.0
600,6,0,0.0
700,3,0,0.0
725,1,0,0.0
750,1,0,0.0
800,3,0,0.0
850,1,0,0.0
900,4,1,25.0
925,1,0,0.0
950,1,0,0.0
1000,9816,714,7.27
1025,35,2,5.71
1050,53,3,5.66
1075,24,1,4.17
1100,252,16,6.35
1125,41,3,7.32
1150,46,5,10.87
1175,16,2,12.5
1200,3691,273,7.4
1225,19,1,5.26
1250,101,9,8.91
1275,59,8,13.56
1300,375,24,6.4
1325,74,11,14.86
1350,67,5,7.46
1375,37,4,10.81
1400,1265,110,8.7
1425,27,1,3.7
1450,346,33,9.54
1475,42,0,0.0
1500,6176,439,7.11
1525,40,0,0.0
1550,137,12,8.76
1575,37,5,13.51
1600,2410,174,7.22
1625,59,5,8.47
1650,105,6,5.71
1675,193,23,11.92
1700,368,21,5.71
1725,37,8,21.62
1750,230,22,9.57
1775,52,7,13.46
1800,2590,191,7.37
1825,65,6,9.23
1850,92,9,9.78
1875,67,14,20.9
1900,211,19,9.0
1925,210,21,10.0
1950,127,13,10.24
1975,75,12,16.0
2000,16142,1417,8.78
2025,36,9,25.0
2050,132,15,11.36
2075,84,7,8.33
2100,1298,127,9.78
2125,94,19,20.21
2150,246,23,9.35
2175,69,8,11.59
2200,1819,202,11.11
2225,80,17,21.25
2250,304,31,10.2
2275,103,15,14.56
2300,551,32,5.81
2325,85,13,15.29
2350,121,20,16.53
2375,116,20,17.24
2400,6158,581,9.43
2425,91,16,17.58
2450,110,11,10.0
2475,65,6,9.23
2500,9872,763,7.73
2525,192,31,16.15
2550,182,23,12.64
2575,104,16,15.38
2600,760,65,8.55
2625,119,20,16.81
2650,383,45,11.75
2675,105,6,5.71
2700,918,81,8.82
2725,141,14,9.93
2750,401,52,12.97
2775,99,14,14.14
2800,3092,313,10.12
2825,111,17,15.32
2850,186,26,13.98
2875,389,63,16.2
2900,277,33,11.91
2925,115,22,19.13
2950,160,26,16.25
2975,233,33,14.16
3000,29668,2610,8.8
3025,1577,104,6.59
3050,236,43,18.22
3075,209,32,15.31
3100,455,35,7.69
3125,361,55,15.24
3150,233,30,12.88
3175,177,23,12.99
3200,4452,370,8.31
3225,154,29,18.83
3250,684,122,17.84
3275,169,31,18.34
3300,893,62,6.94
3325,158,20,12.66
3350,346,43,12.43
3375,149,23,15.44
3400,579,58,10.02
3425,153,28,18.3
3450,187,29,15.51
3475,183,35,19.13
3500,10643,816,7.67
3525,198,27,13.64
3550,209,42,20.1
3575,151,15,9.93
3600,9190,955,10.39
3625,493,64,12.98
3650,211,22,10.43
3675,188,31,16.49
3700,652,50,7.67
3725,188,28,14.89
3750,342,57,16.67
3775,185,29,15.68
3800,831,64,7.7
3825,342,59,17.25
3850,444,60,13.51
3875,158,26,16.46
3900,643,71,11.04
3925,166,17,10.24
3950,323,46,14.24
3975,256,44,17.19
4000,32375,2835,8.76
4025,155,30,19.35
4050,192,25,13.02
4075,277,44,15.88
4100,426,41,9.62
4125,262,43,16.41
4150,277,48,17.33
4175,195,30,15.38
4200,6278,634,10.1
4225,315,42,13.33
4250,405,68,16.79
4275,172,32,18.6
4300,765,75,9.8
4325,365,47,12.88
4350,281,44,15.66
4375,494,88,17.81
4400,1129,88,7.79
4425,175,22,12.57
4450,398,57,14.32
4475,324,49,15.12
4500,7263,623,8.58
4525,232,42,18.1
4550,369,58,15.72
4575,263,56,21.29
4600,712,78,10.96
4625,290,51,17.59
4650,261,41,15.71
4675,281,50,17.79
4700,552,62,11.23
4725,280,51,18.21
4750,766,141,18.41
4775,187,42,22.46
4800,13071,1281,9.8
4825,232,45,19.4
4850,317,59,18.61
4875,249,53,21.29
4900,929,83,8.93
4925,208,27,12.98
4950,618,106,17.15
4975,187,31,16.58
5000,84765,7864,9.28
5025,247,47,19.03
5050,482,62,12.86
5075,259,63,24.32
5100,786,90,11.45
5125,401,66,16.46
5150,294,39,13.27
5175,268,50,18.66
5200,1937,182,9.4
5225,267,41,15.36
5250,497,64,12.88
5275,351,41,11.68
5300,1013,76,7.5
5325,303,61,20.13
5350,260,38,14.62
5375,790,154,19.49
5400,2818,279,9.9
5425,206,27,13.11
5450,367,60,16.35
5475,205,32,15.61
5500,8441,661,7.83
5525,289,39,13.49
5550,314,47,14.97
5575,226,44,19.47
5600,7497,802,10.7
5625,230,37,16.09
5650,294,46,15.65
5675,252,46,18.25
5700,841,90,10.7
5725,255,39,15.29
5750,742,99,13.34
5775,186,36,19.35
5800,908,111,12.22
5825,326,56,17.18
5850,287,45,15.68
5875,449,74,16.48
5900,392,47,11.99
5925,255,41,16.08
5950,467,96,20.56
5975,307,67,21.82
6000,72089,6434,8.93
6025,3531,382,10.82
6050,449,62,13.81
