dti,total_loans,defaulted_loans,default_rate
,1711,62,3.62
-1.0,2,0,0.0
0.0,1732,158,9.12
0.01,22,3,13.64
0.02,35,4,11.43
0.03,19,2,10.53
0.04,16,1,6.25
0.05,20,1,5.0
0.06,32,4,12.5
0.07,27,2,7.41
0.08,30,3,10.0
0.09,24,2,8.33
0.1,33,3,9.09
0.11,33,3,9.09
0.12,33,6,18.18
0.13,46,3,6.52
0.14,42,4,9.52
0.15,38,4,10.53
0.16,50,2,4.0
0.17,46,2,4.35
0.18,47,3,6.38
0.19,40,6,15.0
0.2,82,4,4.88
0.21,57,4,7.02
0.22,55,5,9.09
0.23,55,8,14.55
0.24,69,3,4.35
0.25,91,11,12.09
0.26,80,2,2.5
0.27,57,7,12.28
0.28,59,6,10.17
0.29,79,6,7.59
0.3,101,9,8.91
0.31,70,7,10.0
0.32,81,4,4.94
0.33,99,6,6.06
0.34,62,6,9.68
0.35,95,8,8.42
0.36,85,8,9.41
0.37,64,7,10.94
0.38,119,14,11.76
0.39,69,4,5.8
0.4,108,8,7.41
0.41,82,8,9.76
0.42,105,8,7.62
0.43,125,9,7.2
0.44,97,9,9.28
0.45,108,10,9.26
0.46,129,7,5.43
0.47,66,5,7.58
0.48,130,7,5.38
0.49,55,5,9.09
0.5,202,12,5.94
0.51,70,7,10.0
0.52,112,10,8.93
0.53,110,11,10.0
0.54,105,12,11.43
0.55,129,10,7.75
0.56,121,8,6.61
0.57,99,12,12.12
0.58,123,8,6.5
0.59,93,11,11.83
0.6,215,22,10.23
0.61,103,1,0.97
0.62,87,6,6.9
0.63,120,13,10.83
0.64,99,9,9.09
0.65,105,9,8.57
0.66,86,7,8.14
0.67,168,14,8.33
0.68,101,7,6.93
0.69,110,13,11.82
0.7,124,13,10.48
0.71,149,18,12.08
0.72,147,7,4.76
0.73,87,4,4.6
0.74,116,5,4.31
0.75,222,17,7.66
0.76,86,8,9.3
0.77,111,11,9.91
0.78,119,13,10.92
0.79,127,6,4.72
0.8,146,10,6.85
0.81,144,13,9.03
0.82,108,13,12.04
0.83,168,9,5.36
0.84,135,14,10.37
0.85,93,6,6.45
0.86,207,17,8.21
0.87,110,9,8.18
0.88,137,11,8.03
0.89,124,6,4.84
0.9,138,7,5.07
