int_rate,total_loans,defaulted_loans,default_rate
5.31,8613,34,0.39
5.32,47171,965,2.05
5.42,573,20,3.49
5.79,410,16,3.9
5.93,1812,40,2.21
5.99,347,19,5.48
6.0,675,25,3.7
6.03,10755,288,2.68
6.07,5020,34,0.68
6.08,5639,48,0.85
6.11,13713,6,0.04
6.17,252,10,3.97
6.19,3305,7,0.21
6.24,7477,298,3.99
6.39,2675,106,3.96
6.46,4030,2,0.05
6.49,11884,558,4.7
6.54,307,27,8.79
6.62,5409,214,3.96
6.67,8752,2,0.02
6.68,2471,138,5.58
6.71,5480,36,0.66
6.72,6670,73,1.09
6.76,168,5,2.98
6.83,3906,16,0.41
6.89,7019,338,4.82
6.91,310,20,6.45
6.92,4274,276,6.46
6.97,5244,281,5.36
6.99,11600,406,3.5
7.02,2823,0,0.0
7.05,23,3,13.04
7.07,7125,120,1.68
7.12,3064,127,4.14
7.14,342,19,5.56
7.21,17298,155,0.9
7.24,5253,176,3.35
7.26,9450,564,5.97
7.29,397,17,4.28
7.34,6178,67,1.08
7.35,14782,294,1.99
7.37,32,1,3.13
7.39,8760,556,6.35
7.4,72,1,1.39
7.42,7,1,14.29
7.43,33,1,3.03
7.46,4352,20,0.46
7.49,11013,491,4.46
7.51,973,76,7.81
7.56,2907,0,0.0
7.59,2331,107,4.59
7.62,6650,310,4.66
7.66,292,23,7.88
7.68,94,3,3.19
7.69,4962,307,6.19
7.74,154,3,1.95
7.75,27,3,11.11
7.84,11857,14,0.12
7.88,742,38,5.12
7.89,28515,2095,7.35
7.9,10079,654,6.49
7.91,2129,154,7.23
7.96,5004,59,1.18
7.97,17676,473,2.68
7.99,10639,478,4.49
8.0,198,10,5.05
8.07,26,1,3.85
8.08,3598,26,0.72
8.18,17811,1573,8.83
8.19,9779,296,3.03
8.24,14760,774,5.24
8.32,49,3,6.12
8.38,1920,155,8.07
8.39,15213,1358,8.93
8.46,10505,17,0.16
8.49,2828,236,8.35
8.59,4091,261,6.38
8.6,404,21,5.2
8.63,44,1,2.27
8.67,3543,347,9.79
8.7,17,0,0.0
8.81,4192,1,0.02
8.88,168,19,11.31
8.9,11426,870,7.61
8.94,299,24,8.03
8.99,6989,523,7.48
9.01,17,2,11.76
9.07,15,2,13.33
9.16,10396,1023,9.84
9.17,27835,2738,9.84
9.2,15,1,6.67
9.25,705,45,6.38
9.32,187,9,4.81
9.33,24,3,12.5
9.38,23,2,8.7
9.43,6794,95,1.4
9.44,22982,728,3.17
9.45,47,4,8.51
9.49,10794,945,8.75
9.51,10,1,10.0
9.58,4119,32,0.78
9.62,195,22,11.28
9.63,384,40,10.42
9.64,29,4,13.79
9.67,5075,393,7.74
9.7,9,0,0.0
9.71,2084,152,7.29
9.75,11771,1287,10.93
9.76,3210,393,12.24
9.8,2664,288,10.81
9.83,11,0,0.0
9.88,186,9,4.84
9.91,595,69,11.6
9.92,6562,92,1.4
9.93,22268,724,3.25
9.96,30,2,6.67
9.99,21547,2398,11.13
10.0,251,31,12.35
10.01,8,1,12.5
10.07,4339,34,0.78
10.08,9613,31,0.32
10.14,11,1,9.09
10.15,6116,583,9.53
10.16,4318,396,9.17
10.2,18,3,16.67
10.25,228,22,9.65
10.28,32,3,9.38
10.33,3506,1,0.03
10.36,256,32,12.5
10.37,470,52,11.06
10.38,227,23,10.13
10.39,57,5,8.77
10.41,4691,96,2.05
10.42,23182,967,4.17
10.46,12,1,8.33
10.47,10556,27,0.26
10.49,22020,1791,8.13
10.51,22,3,13.64
10.56,3285,32,0.97
10.59,400,47,11.75
10.62,241,23,9.54
10.64,4684,586,12.51
10.65,679,86,12.67
10.71,58,8,13.79
10.72,4003,0,0.0
10.74,1199,139,11.59
10.75,11943,1561,13.07
10.78,2731,329,12.05
10.83,31,5,16.13
10.9,7061,147,2.08
10.91,18485,905,4.9
10.95,82,9,10.98
10.96,15,2,13.33
10.99,44165,5049,11.43
11.03,64,10,15.63
11.05,4723,45,0.95
11.06,8218,12,0.15
11.09,8,2,25.0
11.11,332,36,10.84
11.12,272,30,11.03
11.14,6643,619,9.32
11.16,1,1,100.0
11.22,2280,337,14.78
11.26,95,12,12.63
11.28,19,8,42.11
11.31,3029,2,0.07
11.34,56,6,10.71
11.36,258,25,9.69
11.39,11229,767,6.83
11.41,17,0,0.0
11.44,17970,1627,9.05
11.46,27,6,22.22
11.47,11808,1691,14.32
11.48,2674,383,14.32
11.49,32009,3439,10.74
11.53,16180,2329,14.39
11.54,21,3,14.29
11.55,14399,253,1.76
11.58,107,13,12.15
11.59,12,1,8.33
11.63,8,2,25.0
11.66,50,8,16.0
11.67,7255,847,11.67
11.71,974,135,13.86
11.72,12,1,8.33
11.78,28,5,17.86
11.8,4983,0,0.0
11.83,243,23,9.47
11.86,418,55,13.16
11.89,165,19,11.52
11.91,16,1,6.25
11.97,51,8,15.69
11.98,6944,157,2.26
11.99,53869,5520,10.25
12.04,11,0,0.0
12.05,2333,420,18.0
12.09,20,3,15.0
12.12,9414,1058,11.24
12.13,4390,59,1.34
12.17,17,5,29.41
12.18,216,29,13.43
12.21,183,19,10.38
12.22,16,1,6.25
12.23,143,31,21.68
12.29,18598,3010,16.18
12.35,2546,314,12.33
12.36,11,3,27.27
12.39,4759,743,15.61
12.41,22,5,22.73
12.42,702,108,15.38
12.49,9726,1300,13.37
12.53,356,44,12.36
12.54,9,0,0.0
12.59,4382,770,17.57
12.61,6833,193,2.82
12.62,23422,1439,6.14
12.67,5,1,20.0
12.68,251,44,17.53
12.69,18774,3440,18.32
12.72,18,0,0.0
12.73,9758,51,0.52
12.74,19989,2002,10.02
12.79,9897,1429,14.44
12.8,25,3,12.0
12.84,152,19,12.5
12.85,2076,241,11.61
12.86,11,0,0.0
12.87,206,24,11.65
12.88,2246,394,17.54
12.92,44,8,18.18
12.98,3995,16,0.4
12.99,29276,4727,16.15
13.04,23,1,4.35
13.05,1168,152,13.01
13.06,4522,83,1.84
13.11,8459,1096,12.96
13.12,23,1,4.35
13.16,143,23,16.08
13.17,11,0,0.0
13.18,4380,914,20.87
13.19,1,0,0.0
13.22,159,19,11.95
13.23,277,37,13.36
13.24,56,7,12.5
13.3,17,4,23.53
13.33,17568,3331,18.96
13.35,7756,1357,17.5
13.36,12,2,16.67
13.43,157,33,21.02
13.44,2267,422,18.61
13.47,146,13,8.9
13.48,175,23,13.14
13.49,24304,3163,13.01
13.53,1971,247,12.53
13.55,50,5,10.0
13.56,13719,23,0.17
13.57,153,17,11.11
13.58,5733,155,2.7
13.59,21341,1457,6.83
13.61,313,37,11.82
13.62,9,0,0.0
13.65,2753,421,15.29
13.66,4327,835,19.3
13.67,17334,3250,18.75
13.68,1808,243,13.44
13.72,125,19,15.2
13.75,24,2,8.33
13.79,125,18,14.4
13.8,138,24,17.39
13.84,2,1,50.0
13.85,152,19,12.5
13.87,40,3,7.5
13.92,142,17,11.97
13.93,10,2,20.0
13.98,9800,1727,17.62
13.99,43026,7383,17.16
14.03,3964,48,1.21
14.07,5785,179,3.09
14.08,22146,1555,7.02
14.09,4320,609,14.1
14.11,113,20,17.7
14.12,10,0,0.0
14.16,2952,467,15.82
14.17,122,26,21.31
14.18,39,1,2.56
14.22,132,21,15.91
14.25,10,0,0.0
14.26,138,22,15.94
14.27,637,110,17.27
14.28,1,0,0.0
14.3,2139,301,14.07
14.31,4228,929,21.97
14.33,8835,1404,15.89
14.35,138,12,8.7
14.38,35,1,2.86
14.42,106,12,11.32
14.43,4,0,0.0
14.46,9744,1996,20.48
14.47,13984,344,2.46
14.48,1533,372,24.27
14.49,16118,2982,18.5
14.5,41,1,2.44
14.52,3913,65,1.66
14.54,75,14,18.67
14.57,3,0,0.0
14.59,132,20,15.15
14.61,114,15,13.16
14.62,4,2,50.0
14.64,3029,538,17.76
14.65,14763,3253,22.03
14.67,3,0,0.0
14.7,13,1,7.69
14.72,125,13,10.4
14.74,84,11,13.1
14.75,9,0,0.0
14.77,2,1,50.0
14.79,194,42,21.65
14.82,43,0,0.0
14.83,105,10,9.52
14.84,131,17,12.98
14.85,1778,394,22.16
14.88,7,1,14.29
14.91,172,36,20.93
14.93,8,2,25.0
14.96,249,31,12.45
14.98,2067,378,18.29
14.99,25108,4119,16.41
15.01,17,2,11.76
15.02,13126,32,0.24
15.04,5530,207,3.74
15.05,22283,1807,8.11
15.07,9,0,0.0
15.1,2036,304,14.93
15.13,22,0,0.0
15.2,86,20,23.26
15.21,220,45,20.45
15.22,1881,308,16.37
15.23,216,42,19.44
15.25,7,1,14.29
15.27,307,75,24.43
15.28,147,23,15.65
15.29,2,0,0.0
15.31,16427,3239,19.72
15.33,135,22,16.3
15.37,52,3,5.77
15.38,6,1,16.67
